"SOHO DE LUXE","SOHO DE LUXE",module,Ibapi_Multiv
"SPACE STYLE CONCEPT","SPACE STYLE CONCEPT",module,Ibapi_Multiv
"STELLA McCARTNEY","STELLA McCARTNEY",module,Ibapi_Multiv
"TADASHI SHOJI","TADASHI SHOJI",module,Ibapi_Multiv
"TERI JON","TERI JON",module,Ibapi_Multiv
"THIERRY MUGLER","THIERRY MUGLER",module,Ibapi_Multiv
"THOMAS WILDE","THOMAS WILDE",module,Ibapi_Multiv
"VIVIENNE WESTWOOD","VIVIENNE WESTWOOD",module,Ibapi_Multiv
"YVES ST LAURENT","YVES ST LAURENT",module,Ibapi_Multiv
"ZADIG & VOLTAIRE","ZADIG & VOLTAIRE",module,Ibapi_Multiv
VELVET,VELVET,module,Ibapi_Multiv
VERSACE,VERSACE,module,Ibapi_Multiv
ARGENTE,ARGENTE,module,Ibapi_Multiv
BEIGE,BEIGE,module,Ibapi_Multiv
BLANC,BLANC,module,Ibapi_Multiv
BLEU,BLEU,module,Ibapi_Multiv
CHAMPAGNE,CHAMPAGNE,module,Ibapi_Multiv
DORE,DORE,module,Ibapi_Multiv
GRIS,GRIS,module,Ibapi_Multiv
JAUNE,JAUNE,module,Ibapi_Multiv
MARRON,MARRON,module,Ibapi_Multiv
NOIR,NOIR,module,Ibapi_Multiv
ORANGE,ORANGE,module,Ibapi_Multiv
ROSE,ROSE,module,Ibapi_Multiv
ROUGE,ROUGE,module,Ibapi_Multiv
VERT,VERT,module,Ibapi_Multiv
VIOLET,VIOLET,module,Ibapi_Multiv
"MOTIF IMPRIME","MOTIF IMPRIME",module,Ibapi_Multiv
COURTE,COURTE,module,Ibapi_Multiv
3/4,3/4,module,Ibapi_Multiv
LONGUE,LONGUE,module,Ibapi_Multiv
32,32,module,Ibapi_Multiv
34,34,module,Ibapi_Multiv
36,36,module,Ibapi_Multiv
38,38,module,Ibapi_Multiv
40,40,module,Ibapi_Multiv
42,42,module,Ibapi_Multiv
44,44,module,Ibapi_Multiv
46,46,module,Ibapi_Multiv
"This product cannot be added to your cart.","This product cannot be added to your cart.",module,Ibapi_Multiv
"Insufficient balance","Insufficient balance",module,Ibapi_Multiv
"Too late reservation cancelled. please try again.","Too late reservation cancelled. please try again.",module,Ibapi_Multiv
Thumbnail,Thumbnail,module,Ibapi_Multiv
"File can not be saved to the destination folder.","File can not be saved to the destination folder.",module,Ibapi_Multiv
"Too big.","Too big.",module,Ibapi_Multiv
